"Your cart is empty","Ihr Warenkorb ist leer"
"Looks like you haven't made your choice yet.","Sieht aus, als hätten Sie Ihre Wahl noch nicht getroffen."
"Continue shopping","Weiter einkaufen"
"days until end of promotion!","tage bis zum Ende der Aktion!"
"Still","Noch"
"products left!","produkte übrig!"
"Special offer:","Sonderangebot:"
"lees meer","Mehr lesen"
"Read more","Mehr lesen"
"Read less","Weniger lesen"
"Description","Beschreibung"
"Delivery time:","Lieferzeit:"
"lees minder","weniger lesen"
"As low as","Ab"
"Related search terms","Verwandte Suchbegriffe"
"Did you mean","Meinten Sie"
"Search entire store here...","Suchen Sie im gesamten Shop..."
"Place Order","Bestellen und bezahlen"
"Please enter at least %0 characters.","Bitte geben Sie mindestens %0 Zeichen ein."
"Please enter at least 1 character.","Bitte geben Sie mindestens 1 Zeichen ein."
"You might also like:","Das könnte Ihnen auch gefallen:"
"Cart is empty","Warenkorb ist leer"
"Product Options:","Produktoptionen:"
"Search terms","Suchbegriffe"
"Read more","Mehr lesen"
"Projects","Projekte"
"Collections","Kollektionen"
"Who Viewed This Also Viewed","Kunden, die dies angesehen haben, haben auch angesehen"
"Subtotal:","Zwischensumme:"
"Subtotal","Zwischensumme"
"Please select a region, state or province.","Bitte wählen Sie eine Region, ein Bundesland oder eine Provinz."
"Nickname","Spitzname"
"Your Rating:","Ihre Bewertung:"
"You're reviewing:","Sie bewerten:"
"for buying this product!","für den Kauf dieses Produkts!"
"Regular Price","Normaler Preis"
"Revenue","Einnahmen"
"Price: high to low","Preis: hoch zu niedrig"
"Price: low to high","Preis: niedrig zu hoch"
"Biggest Saving","Meiste Ersparnis"
"New","Neu"
"Top Rated","Bestbewertet"
"Reviews Count","Anzahl Bewertungen"
"Now in Wishlists","Jetzt in Wunschlisten"
"Most Viewed","Am häufigsten angesehen"
"Product Name","Produktname"
"Position","Position"
"(Flat Rate - Fixed)","(Pauschale - Fest)"
"Shipping & Handling","Versand & Bearbeitung"
"Apply Rewards","Belohnungen anwenden"
"Apply Discount Code","Rabattcode anwenden"
"Item","Artikel"
"Submit","Einreichen"
"Contact Details","Kontaktdetails"
"What’s on your mind?","Was beschäftigt Sie?"
"Name","Name"
"Jot us a note and we’ll get back to you as quickly as possible.","Schreiben Sie uns eine Nachricht und wir werden uns so schnell wie möglich bei Ihnen melden."
"Write Us","Schreiben Sie uns"
"Contact Us","Kontaktieren Sie uns"
"You have no rewards.","Sie haben keine Belohnungen."
"There are no active subscriptions.","Es gibt keine aktiven Abonnements."
"Subscription option","Abonnementoption"
"General Subscription","Allgemeines Abonnement"
"You have submitted no reviews.","Sie haben keine Bewertungen abgegeben."
"You have no stored payment methods.","Sie haben keine gespeicherten Zahlungsmethoden."
"Customer Address","Kundenadresse"
"City","Stadt"
"Street Address 2","Straße Adresse 2"
"Street Address","Straße Adresse"
"Address","Adresse"
"Edit Address","Adresse bearbeiten"
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsadresse festgelegt."
"Default Shipping Address","Standardversandadresse"
"Default Billing Address","Standard-Rechnungsadresse"
"Manage Addresses","Adressen verwalten"
"Edit","Bearbeiten"
"You aren't subscribed to our newsletter.","Sie sind nicht für unseren Newsletter angemeldet."
"Newsletters","Newsletter"
"Contact Information","Kontaktinformation"
"Save","Speichern"
"Go back","Zurück"
"Change Password","Passwort ändern"
"Change Email","E-Mail ändern"
"You have placed no orders.","Sie haben keine Bestellungen aufgegeben."
"You have no items in your wish list.","Sie haben keine Artikel auf Ihrer Wunschliste."
"Current Balance","Aktueller Kontostand"
"Total Earned: ","Gesamt verdient: "
"Total Spent: ","Gesamt ausgegeben: "
"Expired: ","Abgelaufen: "
"My Account","Mein Konto"
"Sign Out","Abmelden"
"Reward Points History","Belohnungspunkteverlauf"
"Reward Points Amasty","Belohnungspunkte Amasty"
"Back in Stock Subscriptions","Wieder auf Lager Abonnements"
"Newsletter Subscriptions","Newsletter-Abonnements"
"My Product Reviews","Meine Produktbewertungen"
"Stored Payment Methods","Gespeicherte Zahlungsmethoden"
"My Wish List","Meine Wunschliste"
"My Downloadable Products","Meine herunterladbaren Produkte"
"My Orders","Meine Bestellungen"
"Address Book","Adressbuch"
"Account Information","Kontoinformation"
"My Rewards","Meine Belohnungen"
"Customer Login","Kundenlogin"
"Sign In","Anmelden"
"More Information","Mehr Informationen"
"Review & Payments","Bewertung & Zahlungen"
"Shipping Methods","Versandmethoden"
"Country","Land"
"Company","Unternehmen"
"Phone Number","Telefonnummer"
"Order Summary","Bestellübersicht"
"Estimate Shipping and Tax","Versand- und Steuerkalkulation"
"Enter your destination to get a shipping estimate.","Geben Sie Ihr Ziel ein, um eine Versandkostenkalkulation zu erhalten."
"State/Province","Bundesland/Provinz"
"Zip/Postal Code","PLZ/Postleitzahl"
"Grand Total","Gesamtsumme"
"Proceed to checkout","Zur Kasse gehen"
"Update Shopping Cart","Warenkorb aktualisieren"
"Summary","Zusammenfassung"
"Shopping Cart","Einkaufswagen"
"Customer Information","Kundeninformationen"
"or","oder"
"View and Edit Cart","Warenkorb ansehen und bearbeiten"
"Checkout","Kasse"
"My Cart","Mein Warenkorb"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Das Passwort muss mindestens %1 oder mehr der folgenden Elemente enthalten: Großbuchstaben (A-Z), Kleinbuchstaben (a-z), Zahl und Symbol."
"Create New Customer Account","Neues Kundenkonto erstellen"
"Create an Account","Ein Konto erstellen"
"Back","Zurück"
"Confirm Password","Passwort bestätigen"
"Sign-in Information","Anmeldeinformationen"
"Allow remote shopping assistance","Fernunterstützung beim Einkaufen zulassen"
"Sign Up for Newsletter","Für Newsletter anmelden"
"First Name","Vorname"
"Last Name","Nachname"
"Personal Information","Persönliche Informationen"
"Forgot Your Password?","Passwort vergessen?"
"New Customers","Neue Kunden"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Ein Konto zu erstellen hat viele Vorteile: schnelleres Bezahlen, mehrere Adressen speichern, Bestellungen verfolgen und mehr."
"If you have an account, sign in with your email address.","Wenn Sie ein Konto haben, melden Sie sich mit Ihrer E-Mail-Adresse an."
"Shop By","Einkaufen nach"
"Related Products","Verwandte Produkte"
"Category","Kategorie"
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Nur registrierte Benutzer können Bewertungen schreiben. Bitte <a href=""%1"" class=""underline"">melden Sie sich an</a> oder <a href=""%2"" class=""underline"">erstellen Sie ein Konto</a>."
"Write Your Own Review","Schreiben Sie eine Bewertung"
"You can earn","Sie können verdienen"
"Reward Points","Belohnungspunkte"
"for registration!","für die Registrierung!"
"for making a purchase! Available for","für den Kauf! Verfügbar für"
registered,registriert
"customers only.","Kunden."
"for completing your purchase!","für den Abschluss Ihres Einkaufs!"
"Apply Rewards","Belohnungen anwenden"
"You Have <strong>%1</strong> points left","Sie haben <strong>%1</strong> Punkte übrig"
"%3 for every %1%2","%3 für jedes %1%2"
"Enter reward amount","Belohnungsbetrag eingeben"
Apply,Anwenden
Cancel,Abbrechen
"Cancel Reward","Belohnung abbrechen"
"Note: You need at least %1 points to pay for the order with reward points.","Hinweis: Sie benötigen mindestens %1 Punkte, um die Bestellung mit Belohnungspunkten zu bezahlen."
"Note: You have %1 points only.","Hinweis: Sie haben nur %1 Punkte."
Earn,Erhalten
"Notification options","Benachrichtigungsoptionen"
"Receive emails when reward points are added to the balance","E-Mails erhalten, wenn Belohnungspunkte zum Kontostand hinzugefügt werden"
"Receive emails when reward points are about to expire","E-Mails erhalten, wenn Belohnungspunkte bald ablaufen"
"Save Notification Options","Benachrichtigungsoptionen speichern"
Date,Datum
Change,Ändern
Comment,Kommentar
Action,Aktion
"Points Left","Punkte übrig"
Amount,Betrag
"Days Left","Verbleibende Tage"
"You have no rewards.","Sie haben keine Belohnungen."
"Current Balance","Aktueller Kontostand"
"Total Earned: ","Gesamt verdient: "
"Total Spent: ","Gesamt ausgegeben: "
"Expired: ","Abgelaufen: "
"Expiring Points Breakdown","Verfall der Punkte"
"Amount to Expire","Zu verfallender Betrag"
"Expiration Date","Ablaufdatum"
"Shipping Address","Versandadresse"
"View product","Produkt ansehen"
"In stock","Auf Lager"
"Out of stock","Nicht auf Lager",
"2 year warranty","2 Jahre Garantie",
"Handmade","Handgefertigt",
"FSC® Teak","FSC® Teakholz",
"Sustainable wood","Nachhaltiges Holz",
"Free delivery NL & BE","Kostenlose Lieferung in NL & BE",
"30-day return policy","30 Tage Rückgaberecht",
"FSC certified wood","FSC-zertifiziertes Holz",
"Low-maintenance teak","Pflegeleichtes Teak",
"Weatherproof Teak - Suitable for every season","Wetterfestes Teak - für jede Jahreszeit geeignet",
"Craftsmanship from our own factory in Indonesia","Handwerkskunst aus unserer eigenen Fabrik in Indonesien",
"100% quality control before shipment","100 % Qualitätskontrolle vor dem Versand",
"Exclusively FSC® Premium Teak","Ausschließlich FSC® Premium-Teak",
"Production begins immediately after order placement","Die Produktion beginnt sofort nach der Bestellung",
"Crafted for you in our own factory in Indonesia — delivery time approx. 12–14 weeks.","Für Sie gefertigt in unserer eigenen Fabrik in Indonesien — Lieferzeit ca. 12–14 Wochen.",
"Customization available","Individuelle Anpassung möglich",
"need to adjust the dimensions or design? Message our specialist.","Möchten Sie Maße oder Design anpassen? Kontaktieren Sie unseren Spezialisten.",
"Already manufactured — on its way from our own factory in Indonesia.","Bereits gefertigt — unterwegs aus unserer eigenen Fabrik in Indonesien.",
"Expected in our showroom on %1","Erwartet in unserem Showroom am %1",
"Limited edition on its way from our factory in Indonesia — reserve today","Limitierte Edition unterwegs aus unserer Fabrik in Indonesien — reservieren Sie noch heute",
"Only %1 units on their way from our factory in Indonesia — reserve today","Nur %1 Stück unterwegs aus unserer Fabrik in Indonesien — reservieren Sie noch heute",
"Almost sold out — only %1 units left on their way from our factory in Indonesia.","Fast ausverkauft — nur noch %1 Stück unterwegs aus unserer Fabrik in Indonesien.",
"Reserve now to avoid disappointment","Jetzt reservieren, um Enttäuschungen zu vermeiden",
"Order now, we’ll ship immediately upon arrival in Tolbert","Jetzt bestellen, wir versenden sofort nach Ankunft in Tolbert",
"Expected","Erwartet",
"Order now · ~3 weeks total","Jetzt bestellen · ~3 Wochen",
"We’ll set one aside for you","Wir legen dir eins beiseite",
"We’ll schedule delivery","Wir planen die Lieferung",
"Expected in %1. We’ll set one aside for you and contact you as soon as it’s been inspected in Tolbert — then delivered to your home within 1 week.","Erwartet in %1. Wir reservieren eines für Sie und melden uns, sobald es in Tolbert geprüft wurde — danach innerhalb einer Woche bei Ihnen.",
"Expected on %1. We’ll set one aside for you and get in touch as soon as it’s been checked in Tolbert — after which it will be delivered to your home within a week.","Erwartet am %1. Wir reservieren eines für Sie und melden uns, sobald es in Tolbert geprüft wurde — danach innerhalb einer Woche bei Ihnen.",
"Expected this week","Erwartet Woche",
"Temporarily out of stock","Derzeit nicht vorrätig",
"Unavailable","Nicht verfügbar",
"Only","Nur",
"Week","wöchentlich",
"Craftsmanship since 2002","Handwerkskunst seit 2002",
"We've safely received your details. Choose a password to track your order live and download invoices.","Ihre Daten sind bereits sicher eingegangen. Wählen Sie ein Passwort, um Ihre Bestellung live zu verfolgen und Rechnungen herunterzuladen.",
"Log in","Anmelden",
"Register","Registrieren",
"Email Address","E-Mail-Adresse",
"Password","Passwort",
"Forgot?","Vergessen?",
"Stay logged in","Angemeldet bleiben",
"Sign in securely","Sicher anmelden",
"Min. %1 characters","Mind. %1 Zeichen",
"Keep me posted on offers","Über Angebote informiert bleiben",
"Create account","Konto erstellen",
"Securely paid via Pay.nl","Sicher bezahlt über Pay.nl"
"Welcome back","Willkommen zurück",
"Order #%1","Bestellung #%1",
"confirmation is on its way","Bestätigung ist unterwegs",
"2-year guarantee — and we're here for you after that too.","2 Jahre Garantie — und auch danach sind wir für Sie da.",
"30-day returns · secured by Pay.nl","30 Tage Rückgabe · gesichert durch Pay.nl",
"Questions?","Fragen?",
"Welcome","Willkommen",
"Your note","Ihre Nachricht",
"Reorder","Erneut bestellen",
"Patrick will review your note personally · within 24 hours","Patrick wird Ihre Nachricht persönlich prüfen – innerhalb von 24 Stunden",
"Do you have a discount code?","Haben Sie einen Rabattcode?",
"Enter code","Code eingeben",
"🎉 You qualify for free delivery!","🎉 Sie haben Anspruch auf kostenlosen Versand!",
"Only € ","Nur € ",
" more for free delivery"," mehr für kostenlosen Versand",
"Your Shopping Cart","Ihr Warenkorb",
"Enter a location","Ort eingeben",
"Manually enter address","Adresse manuell eingeben",
"House Number & Addition","Hausnummer und Zusatz",
"%1 address cannot be shown due to a technical malfunction.","Die Adresse %1 kann aufgrund einer technischen Störung nicht angezeigt werden.",
"%1 address could not be found.","Die Adresse %1 konnte nicht gefunden werden.",
"Address auto-search is disabled. Please enter your address manually.","Die automatische Adresssuche ist deaktiviert. Bitte geben Sie Ihre Adresse manuell ein.",
"Address cannot be shown due to a technical malfunction.","Die Adresse kann aufgrund einer technischen Störung nicht angezeigt werden.",
"Invalid %1 address. Please use the autocomplete search to find your address.","Ungültige Adresse %1. Bitte nutzen Sie die Autovervollständigung, um Ihre Adresse zu finden.",
"Invalid zip code.","Ungültige Postleitzahl.",
"No address found. Please try again.","Keine Adresse gefunden. Bitte versuchen Sie es erneut.",
"Postcode","Postleitzahl",
"Renderer by code %1 does not exist","Der Renderer mit dem Code %1 existiert nicht.",
"Something went wrong while searching for your address.","Bei der Suche nach Ihrer Adresse ist ein Fehler aufgetreten.",
"Start typing your address and completion will do the rest.","Beginnen Sie mit der Eingabe Ihrer Adresse, die Vervollständigung erledigt den Rest.",
"Incorrect house number addition. Please try again.","Falsche Hausnummer und Zusatz. Bitte versuchen Sie es erneut.",
"Regular shopper? ","Sind Sie Stammkunde?",
"Yes, I agree to the","Ja, ich stimme den",
"terms and conditions","Allgemeinen Geschäftsbedingungen",
"100% Secure. Zero Spam.","zu. 100 % sicher. Kein Spam.",
"Limited Stock","Begrenzte Stückzahl",
"Error!","Fehler!",
"Please fill in all required fields.","Bitte füllen Sie alle Pflichtfelder aus.",
"TRY AGAIN","ERNEUT VERSUCHEN",
"New Arrival","Neu eingetroffen",
"Order process completed successfully.","Bestellvorgang erfolgreich abgeschlossen.",
"Show More","Mehr anzeigen",
"Show Less","Weniger anzeigen",
"You are being redirected, please wait...","Sie werden weitergeleitet, bitte warten Sie...",
"Adding...","Hinzufügen...",
"Cancel","Abbrechen",
"View & Continue","Anzeigen & Weiter",
"Apply","Anwenden",
"Apply Discount Code","Rabattcode anwenden",
"Do you have a gift card?","Haben Sie einen Geschenkgutschein?",
"Processing ...","Wird verarbeitet...",
"The coupon code isn't valid. Verify the code and try again.","Der Gutscheincode ist ungültig. Überprüfen Sie den Code und versuchen Sie es erneut.",
"Saving your preference","Einstellungen speichern",
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Die erforderlichen Optionen für das Produkt wurden nicht eingegeben. Bitte stellen Sie sicher, dass die Optionen eingegeben sind, und versuchen Sie es erneut.",
"Remove","Entfernen",
"Each","Jeden",
"days","Tag",
"+ €%1 shipping costs","+ €%1 Versandkosten",
"Returns & Refunds","Rücksendungen & Rückerstattungen",
"Privacy Policy","Datenschutzerklärung",
"Techtic. All rights reserved","Techtic. Alle Rechte vorbehalten",
"Secure checkout","Sichere Kasse",
"Place an order","Bestellung aufgeben",
"saved successfully","Erfolgreich gespeichert",
"saving","Speichern",
"Saving method","Zahlungsart speichern",
"Saving shipping method","Versandart speichern",
"Saving your address","Adresse speichern",
"Back to %1","Zurück zu %1",
"Back to Cart","Zurück zum Warenkorb",
"View All","Alle anzeigen",
"Please enter a valid zip/postal code.","Bitte geben Sie eine gültige Postleitzahl ein.",
"Please enter a valid house number.","Bitte geben Sie eine gültige Hausnummer ein.",
"Checkout securely","Sicher zur Kasse gehen",
"Add to Quote","Zum Angebot hinzufügen",
"Quote Summary","Angebotsübersicht",
"Your quote summary","Ihre Angebotsübersicht",
"My Quote Cart","Mein Angebotswarenkorb",
"Quote is empty","Der Angebotswarenkorb ist leer",
"Enter your details","Geben Sie Ihre Daten ein",
"Remarks","Anmerkungen",
"Clear Quote","Angebot löschen",
"Update Quote","Angebot aktualisieren",
"Submit Quote","Angebot absenden",
"Request Quote","Angebot anfordern",
"Quote Cart","Angebotswarenkorb",
"Quote Total","Angebotsgesamtbetrag",
"You must login or register to add items to your quote cart.","Sie müssen sich anmelden oder registrieren, um Artikel in Ihren Angebotswarenkorb zu legen.",
"You added %1 to your quote cart.","Sie haben %1 in Ihren Angebotswarenkorb gelegt.",
"Add Note","Notiz hinzufügen",
"My Quotes","Meine Angebote",
"Cancel / Close","Stornieren / Schließen",
"Approve","Genehmigen",
"Convert To Order","In Bestellung umwandeln",
"Download PDF","PDF herunterladen",
"Quote View","Angebotsansicht",
"Sales","Vertrieb",
"Quotes","Angebote",
"You approved the quote.","Sie haben das Angebot genehmigt.",
"You closed the quote.","Sie haben das Angebot geschlossen.",
"New Quote","Neues Angebot",
"Edit Quote","Angebot bearbeiten",
"You updated the quote.","Sie haben das Angebot aktualisiert.",
"You created the quote.","Sie haben das Angebot erstellt.",
"Requested quote does not exist","Das angeforderte Angebot existiert nicht",
"Login for quote","Für das Angebot anmelden",
"Submitted Quote","Eingereichtes Angebot",
"Approved Quote","Genehmigtes Angebot",
"Modified Quote","Geändertes Angebot",
"Canceled Quote","Storniertes Angebot",
"Expired Quote","Abgelaufenes Angebot",
"Quote Number","Angebotsnummer",
"Quote Status","Angebotsstatus",
"Quote Date","Angebotsdatum",
"Quote Expiry Date","Ablaufdatum des Angebots",
"Quote Items","Angebotspositionen",
"Quote Information","Angebotsinformationen",
"Quote Edit","Angebot bearbeiten",
"Quote History","Angebotsverlauf",
"Quote Currency:","Angebotswährung:",
"Quote Comments","Anmerkungen zum Angebot",
"Quote & Account Information","Angebots- und Kontoinformationen",
"Quote Date (%1)","Angebotsdatum (%1)",
"Reminder Date","Erinnerungsdatum",
"Clone as Quote","Als Angebot kopieren",
"Move to Cart","In den Warenkorb legen",
"Move to Shopping Cart","In den Einkaufswagen legen",
"Move to Checkout","Zur Kasse gehen",
"You have placed no quotes.","Sie haben noch keine Angebote erstellt.",
"There are no quote requests.","Es liegen keine Angebotsanfragen vor.",
"Request a Quote","Angebot anfordern",
"My Quote","Mein Angebot",
"Submitted Quote","Eingereichtes Angebot",
"Email alert for new quote requests","E-Mail-Benachrichtigung bei neuen Angebotsanfragen",
"Email alert for approved quote requests","E-Mail-Benachrichtigung bei genehmigten Angebotsanfragen",
"Email alert for canceled quote requests","E-Mail-Benachrichtigung bei stornierten Angebotsanfragen",
"Email alert for modified quote requests","E-Mail-Benachrichtigung bei geänderten Angebotsanfragen",
"Email alert for expired quote requests","E-Mail-Benachrichtigung bei abgelaufenen Angebotsanfragen",
"Email alert for submitted quote request","E-Mail-Benachrichtigung bei eingereichten Angebotsanfragen",
"Email alert for reminder quote requests","E-Mail-Benachrichtigung bei Erinnerungs-Angebotsanfragen",
"Quote request has been received!","Angebotsanfrage eingegangen!",
"Quote Cart has been disabled.","Der Angebotswarenkorb wurde deaktiviert.",
"Empty Quote Cart can not be submitted.","Ein leerer Angebotswarenkorb kann nicht übermittelt werden.",
"Quote Cart has invalid status.","Der Angebotswarenkorb hat einen ungültigen Status.",
"The quote can't be created.","Das Angebot kann nicht erstellt werden.",
"Quote with ID %1 not approved","Angebot mit der ID %1 nicht genehmigt",
"You don’t have permission to access the quote with ID %1.","Sie haben keine Berechtigung, auf das Angebot mit der ID %1 zuzugreifen.",
"Amasty Request a Quote","Amasty Angebot anfordern",
"Login","Anmelden",
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Die Anmeldedaten waren falsch oder Ihr Konto ist vorübergehend deaktiviert. Bitte warten Sie und versuchen Sie es später erneut.",
"You already have an account with us. Please sign in.","Sie haben bereits ein Konto bei uns. Bitte melden Sie sich an.",
"Could not find quote item with id: %1.","Der Angebotsartikel mit der ID %1 konnte nicht gefunden werden.",
"You have no items in your quote cart.","Sie haben keine Artikel in Ihrem Angebotswarenkorb.",
"Your quote request has been received!","Ihre Angebotsanfrage ist eingegangen!",
"Thank you for your interest!","Vielen Dank für Ihr Interesse!",
"Your Quote Request # is:","Ihre Angebotsanfrage-Nr. lautet:",
"Your Quote Request # is: %1.","Ihre Angebotsanfrage-Nr. lautet: %1.",
"Your Quote Request # is: <span>%1</span>.","Ihre Angebotsanfrage-Nr. lautet: <span>%1</span>.",
"We'll email you a Quote Request confirmation email with a link to track progress.","Wir senden Ihnen eine Bestätigungs-E-Mail zu Ihrer Angebotsanfrage mit einem Link, über den Sie den Bearbeitungsstatus verfolgen können.",
"Quote #","Angebots-Nr.",
"Requested Price","Angeforderter Preis",
"Approved Price","Genehmigter Preis",
" Submitted Date:"," Eingereicht am:",
"Quote # %1","Angebots-Nr. %1",
"Submitted Quote","Eingereichtes Angebot",
"Approved Quote","Genehmigtes Angebot",
"Modified Quote","Geändertes Angebot",
"Canceled Quote","Storniertes Angebot",
"Expired Quote","Abgelaufenes Angebot",
"We'll send notifications about the quote to the inserted email address. Please note that if you want to track a quote status on the website you have to <a href=""%1"">register</a> before submitting the quote.","Wir senden Benachrichtigungen zum Angebot an die angegebene E-Mail-Adresse. Bitte beachten Sie: Wenn Sie den Status eines Angebots auf der Website verfolgen möchten, müssen Sie sich <a href=""%1„“>registrieren</a>, bevor Sie das Angebot absenden.",
"Your checkout information has been updated in the background. Please refresh the page to continue the checkout process in this window.","Ihre Zahlungsdaten wurden im Hintergrund aktualisiert. Bitte aktualisieren Sie die Seite, um den Bestellvorgang in diesem Fenster fortzusetzen.",
"Information has been updated","Die Daten wurden aktualisiert.",
"Discover our bestsellers","Entdecken Sie unsere Bestseller",
"Unable to create account. Please try again.","Das Konto konnte nicht erstellt werden. Bitte versuchen Sie es erneut.",
"Passwords do not match.","Die Passwörter stimmen nicht überein.",
"Qty %1","Anzahl %1",
"30-day returns","30-tägiges Rückgaberecht",
"secured by Pay.nl","gesichert durch Pay.nl",
"2-year guarantee - and we're here for you after that too.","2 Jahre Garantie – und auch danach sind wir für Sie da.",
