"Your cart is empty","Tu carrito esta vacío"
"Looks like you haven't made your choice yet.","Parece que aún no has hecho tu elección."
"Continue shopping","Seguir comprando"
"days until end of promotion!","días hasta el final de la promoción!"
"Still","Quedan"
"products left!","productos restantes!"
"Special offer:","Oferta especial:"
"lees meer","leer más"
"Read more","leer más"
"Read less","Leer menos"
"Description","Descripción"
"Delivery time:","Plazo de entrega:"
"lees minder","leer menos"
"As low as","Desde"
"Related search terms","Términos de búsqueda relacionados"
"Did you mean","Quisiste decir"
"Search entire store here...","Busca en toda la tienda aquí..."
"Place Order","Realizar pedido"
"Please enter at least %0 characters.","Por favor, ingresa al menos %0 caracteres."
"Please enter at least 1 character.","Por favor, ingresa al menos 1 carácter."
"You might also like:","También te puede gustar:"
"Cart is empty","El carrito está vacío"
"Product Options:","Opciones del producto:"
"Search terms","Términos de búsqueda"
"Read more","Leer más"
"Projects","Proyectos"
"Collections","Colecciones"
"Who Viewed This Also Viewed","A quienes vieron esto también les gustó"
"Subtotal:","Subtotal:"
"Subtotal","Subtotal"
"Please select a region, state or province.","Por favor selecciona una región, estado o provincia."
"Nickname","Apodo"
"Your Rating:","Tu calificación:"
"You're reviewing:","Estás reseñando:"
"for buying this product!","¡por comprar este producto!"
"Regular Price","Precio regular"
"Revenue","Ingresos"
"Price: high to low","Precio: alto a bajo"
"Price: low to high","Precio: bajo a alto"
"Biggest Saving","Mayor ahorro"
"New","Nuevo"
"Top Rated","Más valorado"
"Reviews Count","Número de reseñas"
"Now in Wishlists","Ahora en listas de deseos"
"Most Viewed","Más visto"
"Product Name","Nombre del producto"
"Position","Posición"
"(Flat Rate - Fixed)","(Tarifa fija)"
"Shipping & Handling","Envío y manejo"
"Apply Rewards","Aplicar recompensas"
"Apply Discount Code","Aplicar código de descuento"
"Item","Artículo"
"Submit","Enviar"
"Contact Details","Detalles de contacto"
"What’s on your mind?","¿En qué piensas?"
"Name","Nombre"
"Jot us a note and we’ll get back to you as quickly as possible.","Déjanos una nota y te responderemos lo antes posible."
"Write Us","Escríbenos"
"Contact Us","Contáctanos"
"You have no rewards.","No tienes recompensas."
"There are no active subscriptions.","No hay suscripciones activas."
"Subscription option","Opción de suscripción"
"General Subscription","Suscripción general"
"You have submitted no reviews.","No has enviado reseñas."
"You have no stored payment methods.","No tienes métodos de pago guardados."
"Customer Address","Dirección del cliente"
"City","Ciudad"
"Street Address 2","Dirección 2"
"Street Address","Dirección"
"Address","Dirección"
"Edit Address","Editar dirección"
"You have not set a default billing address.","No has establecido una dirección de facturación predeterminada."
"Default Shipping Address","Dirección de envío predeterminada"
"Default Billing Address","Dirección de facturación predeterminada"
"Manage Addresses","Gestionar direcciones"
"Edit","Editar"
"You aren't subscribed to our newsletter.","No estás suscrito a nuestro boletín."
"Newsletters","Boletines"
"Contact Information","Información de contacto"
"Save","Guardar"
"Go back","Regresar"
"Change Password","Cambiar contraseña"
"Change Email","Cambiar correo electrónico"
"You have placed no orders.","No has realizado pedidos"
"You have no items in your wish list.","No tienes artículos en tu lista de deseos."
"Current Balance","Saldo actual"
"Total Earned: ","Total ganado: "
"Total Spent: ","Total gastado: "
"Expired: ","Expirado: "
"My Account","Mi cuenta"
"Sign Out","Cerrar sesión"
"Reward Points History","Historial de puntos de recompensa"
"Reward Points Amasty","Puntos de recompensa Amasty"
"Back in Stock Subscriptions","Suscripciones de vuelta en stock"
"Newsletter Subscriptions","Suscripciones al boletín"
"My Product Reviews","Mis reseñas de productos"
"Stored Payment Methods","Métodos de pago guardados"
"My Wish List","Mi lista de deseos"
"My Downloadable Products","Mis productos descargables"
"My Orders","Mis pedidos"
"Address Book","Libro de direcciones"
"Account Information","Información de la cuenta"
"My Rewards","Mis recompensas"
"Customer Login","Inicio de sesión del cliente"
"Sign In","Iniciar sesión"
"More Information","Más información"
"Review & Payments","Reseñas y pagos"
"Shipping Methods","Métodos de envío"
"Country","País"
"Company","Empresa"
"Phone Number","Número de teléfono"
"Order Summary","Resumen del pedido"
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Enter your destination to get a shipping estimate.","Ingresa tu destino para obtener una estimación de envío."
"State/Province","Estado/Provincia"
"Zip/Postal Code","Código postal"
"Grand Total","Total general"
"Proceed to checkout","Proceder al pago"
"Update Shopping Cart","Actualizar carrito"
"Summary","Resumen"
"Shopping Cart","Carrito"
"Customer Information","Información del cliente"
"or","o"
"View and Edit Cart","Ver y editar carrito"
"Checkout","Pagar"
"My Cart","Mi carrito"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","La contraseña debe incluir al menos %1 o más de: mayúsculas (A-Z), minúsculas (a-z), números y símbolos."
"Create New Customer Account","Crear una nueva cuenta de cliente"
"Create an Account","Crear una cuenta"
"Back","Volver"
"Confirm Password","Confirmar contraseña"
"Sign-in Information","Información de inicio de sesión"
"Allow remote shopping assistance","Permitir asistencia de compra remota"
"Sign Up for Newsletter","Suscribirse al boletín"
"First Name","Nombre"
"Last Name","Apellido"
"Personal Information","Información personal"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"New Customers","Clientes nuevos"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: pagar más rápido, mantener más de una dirección, rastrear pedidos y más."
"If you have an account, sign in with your email address.","Si tienes una cuenta, inicia sesión con tu dirección de correo electrónico."
"Shop By","Comprar por"
"Related Products","Productos relacionados"
"Category","Categoría"
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Solo los usuarios registrados pueden escribir reseñas. Por favor <a href=""%1"" class=""underline"">inicia sesión</a> o <a href=""%2"" class=""underline"">crea una cuenta</a>"
"Write Your Own Review","Escribe tu propia reseña"
"You can earn","Puedes ganar"
"Reward Points","Puntos de recompensa"
"for registration!","¡por registrarte!"
"for making a purchase! Available for","¡por realizar una compra! Disponible para"
"registered","registrados"
"customers only.","clientes solamente."
"for completing your purchase!","¡por completar tu compra!"
"Apply Rewards","Aplicar recompensas"
"You Have <strong>%1</strong> points left","Te quedan <strong>%1</strong> puntos"
"%3 for every %1%2","%3 por cada %1%2"
"Enter reward amount","Ingresa el monto de recompensa"
"Apply","Aplicar"
"Cancel","Cancelar"
"Cancel Reward","Cancelar recompensa"
"Note: You need at least %1 points to pay for the order with reward points.","Nota: Necesitas al menos %1 puntos para pagar el pedido con puntos de recompensa."
"Note: You have %1 points only.","Nota: Solo tienes %1 puntos."
"Earn","Ganar"
"Notification options","Opciones de notificación"
"Receive emails when reward points are added to the balance","Recibir correos electrónicos cuando se agreguen puntos de recompensa al saldo"
"Receive emails when reward points are about to expire","Recibir correos electrónicos cuando los puntos de recompensa estén a punto de expirar"
"Save Notification Options","Guardar opciones de notificación"
"Date","Fecha"
"Change","Cambiar"
"Comment","Comentario"
"Action","Acción"
"Points Left","Puntos restantes"
"Amount","Monto"
"Days Left","Días restantes"
"You have no rewards.","No tienes recompensas."
"Current Balance","Saldo actual"
"Total Earned: ","Total ganado: "
"Total Spent: ","Total gastado: "
"Expired: ","Expirado: "
"Expiring Points Breakdown","Desglose de puntos que expiran"
"Amount to Expire","Monto a expirar"
"Expiration Date","Fecha de expiración"
"Shipping Address","Dirección de envío"
"View product","Ver producto"
"In stock","En stock"
"Out of stock","Agotado"
"2 year warranty","2 años de garantía",
"Handmade","Hecho a mano",
"FSC® Teak","Teca FSC®",
"Sustainable wood","Madera sostenible",
"Free delivery NL & BE","Envío gratis a NL y BE",
"30-day return policy","Devolución en 30 díasd",
"FSC certified wood","Madera certificada FSC",
"Low-maintenance teak","Teca de bajo mantenimiento",
"Weatherproof Teak - Suitable for every season","Teca resistente a la intemperie - adecuada para todas las estaciones",
"Craftsmanship from our own factory in Indonesia","Artesanía de nuestra propia fábrica en Indonesia",
"100% quality control before shipment","Control de calidad 100 % antes del envío",
"Exclusively FSC® Premium Teak","Exclusivamente teca FSC® Premium",
"Production begins immediately after order placement","La producción comienza inmediatamente después del pedido",
"Crafted for you in our own factory in Indonesia — delivery time approx. 12–14 weeks.","Fabricado para usted en nuestra propia fábrica en Indonesia — plazo de entrega aprox. 12–14 semanas.",
"Customization available","Personalización disponible",
"need to adjust the dimensions or design? Message our specialist.","¿Necesita ajustar las dimensiones o el diseño? Contacte con nuestro especialista.",
"Already manufactured — on its way from our own factory in Indonesia.","Ya fabricado — en camino desde nuestra propia fábrica en Indonesia.",
"Expected in our showroom on %1","Previsto en nuestro showroom el %1",
"Limited edition on its way from our factory in Indonesia — reserve today","Edición limitada en camino desde nuestra fábrica en Indonesia — reserve hoy",
"Only %1 units on their way from our factory in Indonesia — reserve today","Solo %1 unidades en camino desde nuestra fábrica en Indonesia — reserve hoy",
"Almost sold out — only %1 units left on their way from our factory in Indonesia.","Casi agotado — solo quedan %1 unidades en camino desde nuestra fábrica en Indonesia.",
"Reserve now to avoid disappointment","Reserve ahora para evitar decepciones",
"Order now, we’ll ship immediately upon arrival in Tolbert","Haga su pedido ahora, enviaremos inmediatamente tras la llegada a Tolbert",
"Expected","Previsto",
"Order now · ~3 weeks total","Pide ahora · ~3 semanas total",
"We’ll set one aside for you","Te reservamos uno",
"We’ll schedule delivery","Planificamos la entrega",
"Expected in %1. We’ll set one aside for you and contact you as soon as it’s been inspected in Tolbert — then delivered to your home within 1 week.","Previsto en %1. Te reservamos uno y te contactamos en cuanto haya sido revisado en Tolbert — entrega en una semana.",
"Expected on %1. We’ll set one aside for you and get in touch as soon as it’s been checked in Tolbert — after which it will be delivered to your home within a week.","Previsto el %1. Te reservamos uno y te contactamos en cuanto haya sido revisado en Tolbert — entrega en una semana.",
"Expected this week","Esperado semana",
"Temporarily out of stock","Agotado temporalmente",
"Unavailable","No disponible",
"Only","Solo",
"Week","semanal",
"Craftsmanship since 2002","Artesanía desde 2002",
"We've safely received your details. Choose a password to track your order live and download invoices.","Ya hemos recibido tus datos de forma segura. Elige una contraseña para seguir tu pedido en directo y descargar facturas.",
"Log in","Iniciar sesión",
"Register","Registrarse",
"Email Address","Correo electrónico",
"Password","Contraseña",
"Forgot?","¿Olvidaste?",
"Stay logged in","Mantener sesión iniciada",
"Sign in securely","Iniciar sesión seguro",
"Min. %1 characters","Mín. %1 caracteres",
"Keep me posted on offers","Mantenme informado de ofertas",
"Create account","Crear cuenta",
"Securely paid via Pay.nl","Pago seguro vía Pay.nl",
"Welcome back","Bienvenido de nuevo",
"Order #%1","Pedido #%1",
"confirmation is on its way","la confirmación está en camino",
"2-year guarantee — and we're here for you after that too.","2 años de garantía — y también después seguimos a tu lado.",
"30-day returns · secured by Pay.nl","Devolución en 30 días · seguro con Pay.nl",
"Questions?","¿Preguntas?",
"Welcome","Bienvenido",
"Your note","Tu nota",
"Reorder","Volver a pedir",
"Patrick will review your note personally · within 24 hours","Patrick revisará tu nota personalmente · en un plazo de 24 horas",
"Do you have a discount code?","¿Tienes un código de descuento?",
"Enter code","Introduce el código",
"🎉 You qualify for free delivery!","🎉 ¡Cumples los requisitos para el envío gratuito!",
"Only € ","seulement € ",
" more for free delivery"," más para el envío gratuito",
"Your Shopping Cart","Tu cesta de la compra",
"Enter a location","Introduce una ubicación",
"Manually enter address","Introduce la dirección manualmente",
"House Number & Addition","Número de casa y complemento",
"%1 address cannot be shown due to a technical malfunction.","No se puede mostrar la dirección %1 debido a un fallo técnico.",
"%1 address could not be found.","No se ha encontrado la dirección %1.",
"Address auto-search is disabled. Please enter your address manually.","La búsqueda automática de direcciones está desactivada. Introduce tu dirección manualmente.",
"Address cannot be shown due to a technical malfunction.","No se puede mostrar la dirección debido a un fallo técnico.",
"Invalid %1 address. Please use the autocomplete search to find your address.","Dirección %1 no válida. Utiliza la función de autocompletado para encontrar tu dirección.",
"Invalid zip code.","Código postal no válido.",
"No address found. Please try again.","No se ha encontrado ninguna dirección. Inténtalo de nuevo.",
"Postcode","Código postal",
"Renderer by code %1 does not exist","El renderizador con el código %1 no existe",
"Something went wrong while searching for your address.","Se ha producido un error al buscar tu dirección.",
"Start typing your address and completion will do the rest.","Empieza a escribir tu dirección y la función de autocompletado se encargará del resto.",
"Incorrect house number addition. Please try again.","Número de casa e indicativo incorrectos. Inténtalo de nuevo.",
"Regular shopper? ","¿Eres cliente habitual?",
"Yes, I agree to the","Sí, acepto los",
"terms and conditions","términos y condiciones",
"100% Secure. Zero Spam.","100 % seguro. Sin spam.",
"Limited Stock","Stock limitado",
"Error!","¡Error!",
"Please fill in all required fields.","Rellena todos los campos obligatorios.",
"TRY AGAIN","INTÉNTALO DE NUEVO",
"New Arrival","Novedades",
"Order process completed successfully.","El proceso de pedido se ha completado correctamente.",
"Show More","Mostrar más",
"Show Less","Mostrar menos",
"You are being redirected, please wait...","Se te está redirigiendo, por favor, espera...",
"Adding...","Añadiendo...",
"Cancel","Cancelar",
"View & Continue","Ver y continuar",
"Apply","Aplicar",
"Apply Discount Code","Aplicar código de descuento",
"Do you have a gift card?","¿Tienes una tarjeta regalo?",
"Processing ...","Procesando...",
"The coupon code isn't valid. Verify the code and try again.","El código del cupón no es válido. Comprueba el código e inténtalo de nuevo.",
"Saving your preference","Guardando tus preferencias",
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","No se han introducido las opciones obligatorias del producto. Asegúrate de introducir las opciones e inténtalo de nuevo.",
"Remove","Eliminar",
"Each","Cada",
"days","días",
"+ €%1 shipping costs","+ €%1 de gastos de envío",
"Returns & Refunds","Devoluciones y reembolsos",
"Privacy Policy","Política de privacidad",
"Teakea. All rights reserved","Teakea. Todos los derechos reservados",
"Secure checkout","Pago seguro",
"Place an order","Realizar un pedido",
"saved successfully","Guardado correctamente",
"saving","Guardando",
"Saving method","Guardando el método de pago",
"Saving shipping method","Guardando el método de envío",
"Saving your address","Guardando tu dirección",
"Back to %1","Volver a %1",
"Back to Cart","Volver al carrito",
"View All","Ver todo",
"Please enter a valid zip/postal code.","Introduce un código postal válido.",
"Please enter a valid house number.","Introduce un número de casa válido.",
"Checkout securely","Realiza el pago de forma segura",
"Add to Quote","Añadir al presupuesto",
"Quote Summary","Resumen del presupuesto",
"Your quote summary","Tu resumen del presupuesto",
"My Quote Cart","Mi cesta de presupuestos",
"Quote is empty","El presupuesto está vacío",
"Enter your details","Introduce tus datos",
"Remarks","Comentarios",
"Clear Quote","Borrar presupuesto",
"Update Quote","Actualizar presupuesto",
"Submit Quote","Enviar presupuesto",
"Request Quote","Solicitar presupuesto",
"Quote Cart","Cesta de presupuestos",
"Quote Total","Total del presupuesto",
"You must login or register to add items to your quote cart.","Debes iniciar sesión o registrarte para añadir artículos a tu cesta de presupuestos.",
"You added %1 to your quote cart.","Has añadido %1 a tu cesta de presupuestos.",
"Add Note","Añadir nota",
"My Quotes","Mis presupuestos",
"Cancel / Close","Cancelar / Cerrar",
"Approve","Aprobar",
"Convert To Order","Convertir en pedido",
"Download PDF","Descargar PDF",
"Quote View","Ver presupuesto",
"Sales","Ventas",
"Quotes","Presupuestos",
"You approved the quote.","Has aprobado el presupuesto.",
"You closed the quote.","Has cerrado el presupuesto.",
"New Quote","Nuevo presupuesto",
"Edit Quote","Editar presupuesto",
"You updated the quote.","Has actualizado el presupuesto.",
"You created the quote.","Has creado el presupuesto.",
"Requested quote does not exist","El presupuesto solicitado no existe",
"Login for quote","Iniciar sesión para ver el presupuesto",
"Submitted Quote","Presupuesto enviado",
"Approved Quote","Presupuesto aprobado",
"Modified Quote","Presupuesto modificado",
"Canceled Quote","Presupuesto cancelado",
"Expired Quote","Presupuesto caducado",
"Quote Number","Número de presupuesto",
"Quote Status","Estado del presupuesto",
"Quote Date","Fecha del presupuesto",
"Quote Expiry Date","Fecha de caducidad del presupuesto",
"Quote Items","Artículos del presupuesto",
"Quote Information","Información del presupuesto",
"Quote Edit","Editar presupuesto",
"Quote History","Historial de presupuestos",
"Quote Currency:","Moneda del presupuesto:",
"Quote Comments","Comentarios del presupuesto",
"Quote & Account Information","Información del presupuesto y de la cuenta",
"Quote Date (%1)","Fecha del presupuesto (%1)",
"Reminder Date","Fecha de recordatorio",
"Clone as Quote","Clonar como presupuesto",
"Move to Cart","Mover al carrito",
"Move to Shopping Cart","Mover a la cesta de la compra",
"Move to Checkout","Mover a la caja",
"You have placed no quotes.","No has creado ningún presupuesto.",
"There are no quote requests.","No hay solicitudes de presupuesto.",
"Request a Quote","Solicitar un presupuesto",
"My Quote","Mi presupuesto",
"Submitted Quote","Presupuesto enviado",
"Email alert for new quote requests","Aviso por correo electrónico de nuevas solicitudes de presupuesto",
"Email alert for approved quote requests","Aviso por correo electrónico de solicitudes de presupuesto aprobadas",
"Email alert for canceled quote requests","Aviso por correo electrónico de solicitudes de presupuesto canceladas",
"Email alert for modified quote requests","Aviso por correo electrónico de solicitudes de presupuesto modificadas",
"Email alert for expired quote requests","Aviso por correo electrónico de solicitudes de presupuesto caducadas",
"Email alert for submitted quote request","Aviso por correo electrónico de solicitudes de presupuesto enviadas",
"Email alert for reminder quote requests","Aviso por correo electrónico de recordatorio de solicitudes de presupuesto",
"Quote request has been received!","¡Se ha recibido una solicitud de presupuesto!",
"Quote Cart has been disabled.","El carrito de presupuestos se ha desactivado.",
"Empty Quote Cart can not be submitted.","No se puede enviar un carrito de presupuestos vacío.",
"Quote Cart has invalid status.","El carrito de presupuestos tiene un estado no válido.",
"The quote can't be created.","No se puede crear el presupuesto.",
"Quote with ID %1 not approved","El presupuesto con ID %1 no ha sido aprobado",
"You don’t have permission to access the quote with ID %1.","No tienes permiso para acceder al presupuesto con ID %1.",
"Amasty Request a Quote","Amasty Solicitar un presupuesto",
"Login","Iniciar sesión",
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","El inicio de sesión en la cuenta fue incorrecto o tu cuenta está desactivada temporalmente. Por favor, espera y vuelve a intentarlo más tarde.",
"You already have an account with us. Please sign in.","Ya tienes una cuenta con nosotros. Inicia sesión.",
"Could not find quote item with id: %1.","No se ha encontrado el artículo de presupuesto con el ID: %1.",
"You have no items in your quote cart.","No tienes ningún artículo en tu carrito de presupuestos.",
"Your quote request has been received!","¡Se ha recibido tu solicitud de presupuesto!",
"Thank you for your interest!","¡Gracias por tu interés!",
"Your Quote Request # is:","Tu número de solicitud de presupuesto es:",
"Your Quote Request # is: %1.","Tu número de solicitud de presupuesto es: %1.",
"Your Quote Request # is: <span>%1</span>.","Tu número de solicitud de presupuesto es: <span>%1</span>.",
"We'll email you a Quote Request confirmation email with a link to track progress.","Te enviaremos por correo electrónico una confirmación de la solicitud de presupuesto con un enlace para seguir su estado.",
"Quote #","N.º de presupuesto",
"Requested Price","Precio solicitado",
"Approved Price","Precio aprobado",
" Submitted Date:"," Fecha de envío:",
"Quote # %1","N.º de presupuesto %1",
"Submitted Quote","Presupuesto enviado",
"Approved Quote","Presupuesto aprobado",
"Modified Quote","Presupuesto modificado",
"Canceled Quote","Presupuesto cancelado",
"Expired Quote","Presupuesto caducado",
"We'll send notifications about the quote to the inserted email address. Please note that if you want to track a quote status on the website you have to <a href=""%1"">register</a> before submitting the quote.","Enviaremos notificaciones sobre el presupuesto a la dirección de correo electrónico indicada. Ten en cuenta que, si deseas realizar un seguimiento del estado del presupuesto en la página web, debes <a href=""%1«»>registrarte</a> antes de enviar el presupuesto.",
"Your checkout information has been updated in the background. Please refresh the page to continue the checkout process in this window.","La información de tu pedido se ha actualizado en segundo plano. Actualiza la página para continuar con el proceso de pago en esta ventana.",
"Information has been updated","La información se ha actualizado.",
"Discover our bestsellers","Descubre nuestros vendidos",
"Unable to create account. Please try again.","No se ha podido crear la cuenta. Inténtalo de nuevo.",
"Passwords do not match.","Las contraseñas no coinciden.",
"Qty %1","Cantidad %1",
"30-day returns","Devoluciones en un plazo de 30 días",
"secured by Pay.nl","con la garantía de Pay.nl",
"2-year guarantee - and we're here for you after that too.","2 años de garantía, y seguiremos estando a tu disposición incluso después de ese plazo.",
