"Your cart is empty","Votre panier est vide"
"Looks like you haven't made your choice yet.","On dirait que vous n'avez pas encore fait votre choix."
"Continue shopping","Continuer les achats"
"days until end of promotion!","jours jusqu'à la fin de l'offre!"
"Still","Encore"
"products left!","produits restants!"
"Special offer:","Offre spéciale:"
"lees meer","En savoir plus"
"Read more","Lire plus"
"Read less","Lire moins"
"Description","Description"
"Delivery time:","Délais de livraison:"
"lees minder","lire moins"
"As low as","À partir de"
"Related search terms","Termes de recherche associés"
"Did you mean","Vouliez-vous dire"
"Search entire store here...","Recherchez dans tout le magasin ici..."
"Place Order","Passer commande"
"Please enter at least %0 characters.","Veuillez entrer au moins %0 caractères."
"Please enter at least 1 character.","Veuillez entrer au moins 1 caractère."
"You might also like:","Vous pourriez aussi aimer :"
"Cart is empty","Le panier est vide"
"Product Options:","Options de produit :"
"Search terms","Termes de recherche"
"Read more","Lire plus"
"Projects","Projets"
"Collections","Collections"
"Who Viewed This Also Viewed","Les clients qui ont vu ceci ont également vu"
"Subtotal:","Sous-total :"
"Subtotal","Sous-total"
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"Nickname","Surnom"
"Your Rating:","Votre note :"
"You're reviewing:","Vous évaluez :"
"for buying this product!","pour l'achat de ce produit !"
"Regular Price","Prix régulier"
"Revenue","Revenu"
"Price: high to low","Prix : élevé à bas"
"Price: low to high","Prix : bas à élevé"
"Biggest Saving","Économie la plus importante"
"New","Nouveau"
"Top Rated","Mieux noté"
"Reviews Count","Nombre de critiques"
"Now in Wishlists","Maintenant dans les listes de souhaits"
"Most Viewed","Les plus vus"
"Product Name","Nom du produit"
"Position","Position"
"(Flat Rate - Fixed)","(Taux fixe - Fixe)"
"Shipping & Handling","Expédition & Manutention"
"Apply Rewards","Appliquer les récompenses"
"Apply Discount Code","Appliquer le code de réduction"
"Item","Article"
"Submit","Soumettre"
"Contact Details","Détails du contact"
"What’s on your mind?","Qu'est-ce qui vous préoccupe ?"
"Name","Nom"
"Jot us a note and we’ll get back to you as quickly as possible.","Laissez-nous une note et nous vous répondrons dès que possible."
"Write Us","Écrivez-nous"
"Contact Us","Contactez-nous"
"You have no rewards.","Vous n'avez pas de récompenses."
"There are no active subscriptions.","Il n'y a pas d'abonnements actifs."
"Subscription option","Option d'abonnement"
"General Subscription","Abonnement général"
"You have submitted no reviews.","Vous n'avez soumis aucune critique."
"You have no stored payment methods.","Vous n'avez aucune méthode de paiement enregistrée."
"Customer Address","Adresse du client"
"City","Ville"
"Street Address 2","Adresse de rue 2"
"Street Address","Adresse de rue"
"Address","Adresse"
"Edit Address","Modifier l'adresse"
"You have not set a default billing address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"Default Shipping Address","Adresse de livraison par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Manage Addresses","Gérer les adresses"
"Edit","Modifier"
"You aren't subscribed to our newsletter.","Vous n'êtes pas abonné à notre newsletter."
"Newsletters","Newsletters"
"Contact Information","Informations de contact"
"Save","Enregistrer"
"Go back","Retourner"
"Change Password","Changer le mot de passe"
"Change Email","Changer l'e-mail"
"You have placed no orders.","Vous n'avez passé aucune commande."
"You have no items in your wish list.","Vous n'avez aucun article dans votre liste de souhaits."
"Current Balance","Solde actuel"
"Total Earned: ","Total gagné : "
"Total Spent: ","Total dépensé : "
"Expired: ","Expiré :"
"My Account","Mon compte"
"Sign Out","Déconnexion"
"Reward Points History","Historique des points de récompense"
"Reward Points Amasty","Points de récompense Amasty"
"Back in Stock Subscriptions","Abonnements en stock"
"Newsletter Subscriptions","Abonnements à la newsletter"
"My Product Reviews","Mes critiques de produits"
"Stored Payment Methods","Méthodes de paiement enregistrées"
"My Wish List","Ma liste de souhaits"
"My Downloadable Products","Mes produits téléchargeables"
"My Orders","Mes commandes"
"Address Book","Carnet d'adresses"
"Account Information","Informations du compte"
"My Rewards","Mes récompenses"
"Customer Login","Connexion client"
"Sign In","Se connecter"
"More Information","Plus d'informations"
"Review & Payments","Avis et paiements"
"Shipping Methods","Méthodes d'expédition"
"Country","Pays"
"Company","Entreprise"
"Phone Number","Numéro de téléphone"
"Order Summary","Résumé de la commande"
"Estimate Shipping and Tax","Estimer les frais de port et les taxes"
"Enter your destination to get a shipping estimate.","Entrez votre destination pour obtenir une estimation des frais de port."
"State/Province","État/Province"
"Zip/Postal Code","Code postal"
"Grand Total","Total général"
"Proceed to checkout","Passer à la caisse"
"Update Shopping Cart","Mettre à jour le panier"
"Summary","Résumé"
"Shopping Cart","Panier"
"Customer Information","Informations client"
"or","ou"
"View and Edit Cart","Voir et modifier le panier"
"Checkout","Caisse"
"My Cart","Mon panier"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Le mot de passe doit inclure au moins %1 ou plus des éléments suivants : majuscule (A-Z), minuscule (a-z), chiffre et symbole."
"Create New Customer Account","Créer un nouveau compte client"
"Create an Account","Créer un compte"
"Back","Retour"
"Confirm Password","Confirmer le mot de passe"
"Sign-in Information","Informations de connexion"
"Allow remote shopping assistance","Autoriser l'assistance à distance pour les achats"
"Sign Up for Newsletter","S'inscrire à la newsletter"
"First Name","Prénom"
"Last Name","Nom de famille"
"Personal Information","Informations personnelles"
"Forgot Your Password?","Mot de passe oublié ?"
"New Customers","Nouveaux clients"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Créer un compte a de nombreux avantages : commander plus rapidement, garder plusieurs adresses, suivre les commandes et plus encore."
"If you have an account, sign in with your email address.","Si vous avez un compte, connectez-vous avec votre adresse e-mail."
"Shop By","Filtrer par"
"Related Products","Produits associés"
"Category","Catégorie"
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Seuls les utilisateurs enregistrés peuvent écrire des critiques. Veuillez <a href=""%1"" class=""underline"">vous connecter</a> ou <a href=""%2"" class=""underline"">créer un compte</a>."
"Write Your Own Review","Écrivez votre propre critique"
"You can earn","Vous pouvez gagner"
"Reward Points","points de récompense"
"for registration!","pour l'inscription !"
"for making a purchase! Available for","pour un achat ! Disponible pour"
registered,enregistré
"customers only.","clients uniquement."
"for completing your purchase!","pour compléter votre achat !"
"Apply Rewards","Appliquer les récompenses"
"You Have <strong>%1</strong> points left","Il vous reste <strong>%1</strong> points"
"%3 for every %1%2","%3 pour chaque %1%2"
"Enter reward amount","Entrez le montant de la récompense"
Apply,Appliquer
Cancel,Annuler
"Cancel Reward","Annuler la récompense"
"Note: You need at least %1 points to pay for the order with reward points.","Remarque : Vous avez besoin d'au moins %1 points pour payer la commande avec des points de récompense."
"Note: You have %1 points only.","Remarque : Vous n'avez que %1 points."
Earn,Gagner
"Notification options","Options de notification"
"Receive emails when reward points are added to the balance","Recevoir des e-mails lorsque des points de récompense sont ajoutés au solde"
"Receive emails when reward points are about to expire","Recevoir des e-mails lorsque des points de récompense sont sur le point d'expirer"
"Save Notification Options","Enregistrer les options de notification"
Date,Date
Change,Modifier
Comment,Commentaire
Action,Action
"Points Left","Points restants"
Amount,Montant
"Days Left","Jours restants"
"You have no rewards.","Vous n'avez aucune récompense."
"Current Balance","Solde actuel"
"Total Earned: ","Total gagné : "
"Total Spent: ","Total dépensé : "
"Expired: ","Expiré :"
"Expiring Points Breakdown","Détail des points expirants"
"Amount to Expire","Montant à expirer"
"Expiration Date","Date d'expiration"
"Shipping Address","Adresse de livraison"
"View product","Voir le produit"
"In stock","En stock"
"Out of stock","Rupture de stock",
"2 year warranty","Garantie 2 ans",
"Handmade","Fait à la main",
"FSC® Teak","Teck FSC®",
"Sustainable wood","Bois durable",
"Free delivery NL & BE","Livraison gratuite NL & BE",
"30-day return policy","Politique de retour sous 30 jours",
"FSC certified wood","Bois certifié FSC",
"Low-maintenance teak","Teck nécessitant peu d'entretien",
"Weatherproof Teak - Suitable for every season","Teck résistant aux intempéries - Convient à toutes les saisons",
"Craftsmanship from our own factory in Indonesia","Artisanat de notre propre usine en Indonésie",
"100% quality control before shipment","Contrôle qualité à 100 % avant expédition",
"Exclusively FSC® Premium Teak","Exclusivement du teck FSC® Premium",
"Production begins immediately after order placement","La production commence immédiatement après la commande",
"Crafted for you in our own factory in Indonesia — delivery time approx. 12–14 weeks.","Fabriqué pour vous dans notre propre usine en Indonésie — délai de livraison env. 12 à 14 semaines.",
"Customization available","Personnalisation possible",
"need to adjust the dimensions or design? Message our specialist.","Besoin d’ajuster les dimensions ou le design ? Contactez notre spécialiste.",
"Already manufactured — on its way from our own factory in Indonesia.","Déjà fabriqué — en route depuis notre propre usine en Indonésie.",
"Expected in our showroom on %1","Prévu dans notre showroom le %1",
"Limited edition on its way from our factory in Indonesia — reserve today","Édition limitée en route depuis notre usine en Indonésie — réservez dès aujourd’hui",
"Only %1 units on their way from our factory in Indonesia — reserve today","Seulement %1 unités en route depuis notre usine en Indonésie — réservez dès aujourd’hui",
"Almost sold out — only %1 units left on their way from our factory in Indonesia.","Presque épuisé — il ne reste plus que %1 unités en route depuis notre usine en Indonésie.",
"Reserve now to avoid disappointment","Réservez maintenant pour éviter toute déception",
"Order now, we’ll ship immediately upon arrival in Tolbert","Commandez maintenant, nous expédierons immédiatement dès l’arrivée à Tolbert",
"Expected","Attendu",
"Order now · ~3 weeks total","Commandez maintenant · ~3 sem.",
"We’ll set one aside for you","Nous vous en réservons un",
"We’ll schedule delivery","Nous planifions la livraison",
"Expected in %1. We’ll set one aside for you and contact you as soon as it’s been inspected in Tolbert — then delivered to your home within 1 week.","Attendu dans %1. Nous vous en réservons un et vous contactons dès qu'il a été contrôlé à Tolbert — livraison dans la semaine suivante.",
"Expected on %1. We’ll set one aside for you and get in touch as soon as it’s been checked in Tolbert — after which it will be delivered to your home within a week.","Attendu le %1. Nous vous en réservons un et vous contactons dès qu'il a été contrôlé à Tolbert — livraison dans la semaine suivante.",
"Expected this week","Attendu semaine",
"Temporarily out of stock","Temporairement en rupture de stock",
"Unavailable","Indisponible",
"Only","Uniquement",
"Week","chaque semaine",
"Craftsmanship since 2002","Savoir-faire depuis 2002",
"We've safely received your details. Choose a password to track your order live and download invoices.","Nous avons bien reçu vos informations. Choisissez un mot de passe pour suivre votre commande en direct et télécharger vos factures.",
"Log in","Se connecter",
"Register","S'inscrire",
"Email Address","Adresse e-mail",
"Password","Mot de passe",
"Forgot?","Oublié ?",
"Stay logged in","Rester connecté",
"Sign in securely","Connexion sécurisée",
"Min. %1 characters","Min. %1 caractères",
"Keep me posted on offers","Tenez-moi informé des offres",
"Create account","Créer un compte",
"Securely paid via Pay.nl","Paiement sécurisé via Pay.nl"
"Welcome back","Welcome back",
"Order #%1","Commande #%1",
"confirmation is on its way","la confirmation est en route",
"2-year guarantee — and we're here for you after that too.","2 ans de garantie — et même après, nous restons à vos côtés.",
"30-day returns · secured by Pay.nl","Retour sous 30 jours · sécurisé par Pay.nl",
"Questions?","Des questions?",
"Welcome","Bienvenue",
"Your note","Votre remarque",
"Reorder","Recommander",
"Patrick will review your note personally · within 24 hours","Patrick examinera personnellement votre message · dans les 24 heures",
"Do you have a discount code?","Avez-vous un code promo ?",
"Enter code","Saisissez le code",
"🎉 You qualify for free delivery!","🎉 Vous bénéficiez de la livraison gratuite !",
"Only € ","seulement € ",
" more for free delivery"," pour bénéficier de la livraison gratuite",
"Your Shopping Cart","Votre panier",
"Enter a location","Saisissez un lieu",
"Manually enter address","Saisissez manuellement l'adresse",
"House Number & Addition","Numéro de rue et complément",
"%1 address cannot be shown due to a technical malfunction.","L'adresse %1 ne peut pas s'afficher en raison d'un dysfonctionnement technique.",
"%1 address could not be found.","L'adresse %1 est introuvable.",
"Address auto-search is disabled. Please enter your address manually.","La recherche automatique d'adresse est désactivée. Veuillez saisir votre adresse manuellement.",
"Address cannot be shown due to a technical malfunction.","L'adresse ne peut pas s'afficher en raison d'un dysfonctionnement technique.",
"Invalid %1 address. Please use the autocomplete search to find your address.","Adresse %1 non valide. Veuillez utiliser la fonction de saisie semi-automatique pour trouver votre adresse.",
"Invalid zip code.","Code postal invalide.",
"No address found. Please try again.","Aucune adresse trouvée. Veuillez réessayer.",
"Postcode","Code postal",
"Renderer by code %1 does not exist","Le rendu par code %1 n'existe pas",
"Something went wrong while searching for your address.","Une erreur s'est produite lors de la recherche de votre adresse.",
"Start typing your address and completion will do the rest.","Commencez à saisir votre adresse et la fonction de saisie semi-automatique se chargera du reste.",
"Incorrect house number addition. Please try again.","Numéro de rue et complément incorrects. Veuillez réessayer.",
"Regular shopper? ","Vous êtes un client régulier ?",
"Yes, I agree to the","Oui, j'accepte les",
"terms and conditions","conditions générales",
"100% Secure. Zero Spam.","100 % sécurisé. Zéro spam.",
"Limited Stock","Stock limité",
"Error!","Erreur !",
"Please fill in all required fields.","Veuillez remplir tous les champs obligatoires.",
"TRY AGAIN","RÉESSAYER",
"New Arrival","Nouveautés",
"Order process completed successfully.","Commande traitée avec succès.",
"Show More","Afficher plus",
"Show Less","Afficher moins",
"You are being redirected, please wait...","Vous allez être redirigé, veuillez patienter...",
"Adding...","Ajout en cours...",
"Cancel","Annuler",
"View & Continue","Voir et continuer",
"Apply","Appliquer",
"Apply Discount Code","Appliquer le code promo",
"Do you have a gift card?","Avez-vous une carte cadeau ?",
"Processing ...","Traitement en cours...",
"The coupon code isn't valid. Verify the code and try again.","Le code promo n'est pas valide. Vérifiez le code et réessayez.",
"Saving your preference","Enregistrement de vos préférences",
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Les options obligatoires du produit n'ont pas été saisies. Assurez-vous que les options sont bien renseignées et réessayez.",
"Remove","Supprimer",
"Each","Chaque",
"days","jour",
"+ €%1 shipping costs","+ %1 € de frais de port",
"Returns & Refunds","Retours et remboursements",
"Privacy Policy","Politique de confidentialité",
"Techtic. All rights reserved","Techtic. Tous droits réservés",
"Secure checkout","Paiement sécurisé",
"Place an order","Passer une commande",
"saved successfully","Enregistré avec succès",
"saving","Enregistrement en cours",
"Saving method","Enregistrement du mode de paiement",
"Saving shipping method","Enregistrement du mode de livraison",
"Saving your address","Enregistrement de votre adresse",
"Back to %1","Retour à %1",
"Back to Cart","Retour au panier",
"View All","Tout afficher",
"Please enter a valid zip/postal code.","Veuillez saisir un code postal valide.",
"Please enter a valid house number.","Veuillez saisir un numéro de maison valide.",
"Checkout securely","Paiement sécurisé",
"Add to Quote","Ajouter au devis",
"Quote Summary","Résumé du devis",
"Your quote summary","Résumé de votre devis",
"My Quote Cart","Mon panier de devis",
"Quote is empty","Le panier de devis est vide",
"Enter your details","Saisissez vos coordonnées",
"Remarks","Remarques",
"Clear Quote","Effacer le devis",
"Update Quote","Mettre à jour le devis",
"Submit Quote","Soumettre le devis",
"Request Quote","Demander un devis",
"Quote Cart","Panier de devis",
"Quote Total","Total du devis",
"You must login or register to add items to your quote cart.","Vous devez vous connecter ou vous inscrire pour ajouter des articles à votre panier de devis.",
"You added %1 to your quote cart.","Vous avez ajouté %1 à votre panier de devis.",
"Add Note","Ajouter une note",
"My Quotes","Mes devis",
"Cancel / Close","Annuler / Fermer",
"Approve","Approuver",
"Convert To Order","Convertir en commande",
"Download PDF","Télécharger le PDF",
"Quote View","Afficher le devis",
"Sales","Ventes",
"Quotes","Devis",
"You approved the quote.","Vous avez approuvé le devis.",
"You closed the quote.","Vous avez clôturé le devis.",
"New Quote","Nouveau devis",
"Edit Quote","Modifier le devis",
"You updated the quote.","Vous avez mis à jour le devis.",
"You created the quote.","Vous avez créé le devis.",
"Requested quote does not exist","Le devis demandé n'existe pas",
"Login for quote","Se connecter pour consulter le devis",
"Submitted Quote","Devis soumis",
"Approved Quote","Devis approuvé",
"Modified Quote","Devis modifié",
"Canceled Quote","Devis annulé",
"Expired Quote","Devis expiré",
"Quote Number","Numéro du devis",
"Quote Status","Statut du devis",
"Quote Date","Date du devis",
"Quote Expiry Date","Date d'expiration du devis",
"Quote Items","Articles du devis",
"Quote Information","Informations sur le devis",
"Quote Edit","Modifier le devis",
"Quote History","Historique des devis",
"Quote Currency:","Devise du devis :",
"Quote Comments","Commentaires sur le devis",
"Quote & Account Information","Informations sur le devis et le compte",
"Quote Date (%1)","Date du devis (%1)",
"Reminder Date","Date de rappel",
"Clone as Quote","Cloner en devis",
"Move to Cart","Ajouter au panier",
"Move to Shopping Cart","Ajouter au panier d'achat",
"Move to Checkout","Passer à la caisse",
"You have placed no quotes.","Vous n'avez enregistré aucun devis.",
"There are no quote requests.","Il n'y a aucune demande de devis.",
"Request a Quote","Demander un devis",
"My Quote","Mon devis",
"Submitted Quote","Devis envoyé",
"Email alert for new quote requests","Alerte par e-mail pour les nouvelles demandes de devis",
"Email alert for approved quote requests","Alerte par e-mail pour les demandes de devis approuvées",
"Email alert for canceled quote requests","Alerte par e-mail pour les demandes de devis annulées",
"Email alert for modified quote requests","Alerte par e-mail pour les demandes de devis modifiées",
"Email alert for expired quote requests","Alerte par e-mail pour les demandes de devis expirées",
"Email alert for submitted quote request","Alerte par e-mail pour les demandes de devis envoyées",
"Email alert for reminder quote requests","Alerte par e-mail pour les rappels de demandes de devis",
"Quote request has been received!","Une demande de devis a été reçue !",
"Quote Cart has been disabled.","Le panier de devis a été désactivé.",
"Empty Quote Cart can not be submitted.","Un panier de devis vide ne peut pas être envoyé.",
"Quote Cart has invalid status.","Le statut du panier de devis n’est pas valide.",
"The quote can't be created.","Le devis ne peut pas être créé.",
"Quote with ID %1 not approved","Le devis portant l’ID %1 n’a pas été approuvé",
"You don’t have permission to access the quote with ID %1.","Vous n’avez pas l’autorisation d’accéder au devis portant l’ID %1.",
"Amasty Request a Quote","Amasty Demander un devis",
"Login","Connexion",
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Les identifiants de connexion étaient incorrects ou votre compte est temporairement désactivé. Veuillez patienter et réessayer plus tard.",
"You already have an account with us. Please sign in.","Vous possédez déjà un compte chez nous. Veuillez vous connecter.",
"Could not find quote item with id: %1.","Impossible de trouver l'article de devis portant l'ID : %1.",
"You have no items in your quote cart.","Votre panier de devis est vide.",
"Your quote request has been received!","Votre demande de devis a bien été reçue !",
"Thank you for your interest!","Merci de l'intérêt que vous nous portez !",
"Your Quote Request # is:","Votre numéro de demande de devis est :",
"Your Quote Request # is: %1.","Votre numéro de demande de devis est : %1.",
"Your Quote Request # is: <span>%1</span>.","Votre numéro de demande de devis est : <span>%1</span>.",
"We'll email you a Quote Request confirmation email with a link to track progress.","Nous vous enverrons par e-mail une confirmation de votre demande de devis avec un lien pour suivre son avancement.",
"Quote #","N° de devis",
"Requested Price","Prix demandé",
"Approved Price","Prix approuvé",
" Submitted Date:"," Date de soumission:",
"Quote # %1","N° de devis %1",
"Submitted Quote","Devis soumis",
"Approved Quote","Devis approuvé",
"Modified Quote","Devis modifié",
"Canceled Quote","Devis annulé",
"Expired Quote","Devis expiré",
"We'll send notifications about the quote to the inserted email address. Please note that if you want to track a quote status on the website you have to <a href=""%1"">register</a> before submitting the quote.","Nous enverrons des notifications concernant le devis à l'adresse e-mail indiquée. Veuillez noter que si vous souhaitez suivre l'état d'avancement d'un devis sur le site web, vous devez <a href=""%1« »>vous inscrire</a> avant de soumettre le devis.",
"Your checkout information has been updated in the background. Please refresh the page to continue the checkout process in this window.","Vos informations de paiement ont été mises à jour en arrière-plan. Veuillez actualiser la page pour poursuivre le processus de paiement dans cette fenêtre.",
"Information has been updated","Les informations ont été mises à jour.",
"Discover our bestsellers","Découvrez nos best-sellers",
"Unable to create account. Please try again.","Impossible de créer un compte. Veuillez réessayer.",
"Passwords do not match.","Les mots de passe ne correspondent pas.",
"Qty %1","Quantité %1",
"30-day returns","Retours sous 30 jours",
"secured by Pay.nl","Sécurisé par Pay.nl",
"2-year guarantee - and we're here for you after that too.","Garantie de 2 ans – et nous restons à votre disposition même après cette période.",
