"Your cart is empty","Je winkelwagen is leeg"
"Looks like you haven't made your choice yet.","Het lijkt erop dat u nog geen keuze heeft gemaakt."
"Continue shopping","Verder winkelen"
"days until end of promotion!","dagen tot einde actie!"
"Still","Nog"
"products left!","producten over!"
"Special offer:","Speciale aanbieding:"
"As low as","Vanaf"
"Read more","Lees meer"
"Read less","Lees minder"
"Description","Beschrijving"
"Delivery time:","Levertijd:"
"Related search terms","Gerelateerde zoek termen"
"Did you mean","Bedoel je"
"Search entire store here...","Waar ben je naar op zoek?"
"Place Order","Bestellen en betalen"
"Please enter at least %0 characters.","Voer minimaal %0 tekens in."
"Please enter at least 1 character.","Voer minimaal 1 teken in."
"You might also like:","Misschien ook leuk:"
"Cart is empty","Winkelwagen is leeg"
"Product Options:","Product opties:"
"Search terms","Zoek termen"
"Read more","Lees meer"
"Projects","Projecten"
"Collections","Collecties"
"Who Viewed This Also Viewed","Klanten bekeken ook"
"Subtotal:","Subtotaal:"
"Subtotal","Subtotaal"
"Please select a region, state or province.","Selecteer een regio, staat of provincie."
"Nickname","Gebruikersnaam"
"Your Rating:","Uw beoordeling:"
"You're reviewing:","U bent aan het beoordelen:"
"for buying this product!","voor de koop van dit product!"
"Regular Price","Normale prijs"
"Revenue","Winst"
"Price: high to low","Prijs: hoog naar laag"
"Price: low to high","Prijs: laag naar hoog"
"Biggest Saving","Meest bespaard"
"New","Nieuw"
"Top Rated","Top beoordeeld"
"Reviews Count","Aantal beoordelingen"
"Now in Wishlists","Nu in wenslijst"
"Most Viewed","Meest bekeken"
"Product Name","Product naam"
"Position","Positie"
"(Flat Rate - Fixed)","(Vast tarief)"
"Shipping & Handling","Verzending en afhandeling"
"Apply Rewards","Beloningen toepassen"
"Apply Discount Code","Kortingscode toepassen"
"Item","Product"
"Submit","Verstuur"
"Contact Details","Contact details"
"What’s on your mind?","Wat is er aan de hand?"
"Name","Naam"
"Jot us a note and we’ll get back to you as quickly as possible.","Schrijf ons een brief en we nemen zo snel mogelijk contact met u op."
"Write Us","Schijf naar ons"
"Contact Us","Neem contact op"
"You have no rewards.","U heeft geen beloningen."
"There are no active subscriptions.","Er zijn geen actieve abonnementen."
"Subscription option","Abonnement optie"
"General Subscription","Algemeen abonnement"
"You have submitted no reviews.","U heeft geen product beoordelingen."
"You have no stored payment methods.","U heeft geen opgeslagen betaalmethodes."
"Customer Address","Klant adres"
"City","Stad"
"Street Address 2","Straat adres 2"
"Street Address","Straat adres"
"Address","Adres"
"Edit Address","Bewerk adres"
"You have not set a default billing address.","U heeft geen standaard factuuradres ingesteld."
"Default Shipping Address","Standaard verzendadres"
"Default Billing Address","Standaard factuuradres"
"Manage Addresses","Beheer adres boek"
"Edit","Bewerk"
"You aren't subscribed to our newsletter.","U bent niet ingechreven op onze nieuwsbrief. "
"Newsletters","Nieuwsbrief"
"Contact Information","Contact informatie"
"Save","Opslaan"
"Go back","Terug"
"Change Password","Verander wachtwoord"
"Change Email","Verander email"
"You have placed no orders.","U heeft geen bestellingen geplaatst"
"You have no items in your wish list.","U heeft geen producten in u wensen lijst."
"Current Balance","Huidige punten"
"Total Earned: ","Totaal verdient: "
"Total Spent: ","Totaal gebruikt: "
"Expired: ","Verlopen: "
"My Account","Mijn account"
"Sign Out","Uitloggen"
"Reward Points History","Beloningspunten geschiedenis"
"Reward Points Amasty","Beloningspunten Amasty"
"Back in Stock Subscriptions","Weer op vooraad abonnementen"
"Newsletter Subscriptions","Nieuwsbrief abonnementen"
"My Product Reviews","Mijn product beoordelingen"
"Stored Payment Methods","Opgeslagen betaalmethodes"
"My Wish List","Mijn wensen lijst"
"My Downloadable Products","Mijn downloadbare producten"
"My Orders","Mijn bestellingen"
"Address Book","Adres boek"
"Account Information","Account informatie"
"My Rewards","Mijn punten"
"Customer Login","Klanten login"
"Sign In","Login"
"More Information","Meer informatie"
"Review & Payments","Beoordeling en betalingen"
"Shipping Methods","Verzendmethoden"
"Country","Land"
"Company","Bedrijf"
"Phone Number","Telefoonnummer"
"Order Summary","Bestelling overzicht"
"Estimate Shipping and Tax","verzendkosten en BTW"
"Enter your destination to get a shipping estimate.","Voer uw bestemming in om een schatting van de verzendkosten te krijgen."
"State/Province","Staat/Provincie"
"Zip/Postal Code","Zip/Postcode"
"Grand Total","Totaalbedrag"
"Proceed to checkout","Afrekenen"
"Update Shopping Cart","Werk winkelwagen bij"
"Summary","Overzicht"
"Shopping Cart","Winkelwagen"
"Customer Information","Klant informatie"
"or","of"
"View and Edit Cart","Bekijk winkelwagen"
"Checkout","Afrekenen"
"My Cart","Mijn winkelwagen"
"The password must include at least %1 or more of: uppercase (A-Z), lowercase (a-z), number and symbol.","Het wachtwoord moet ten minste %1 of meer van de volgende elementen bevatten: hoofdletters (A-Z), kleine letters (a-z), cijfers en symbolen."
"Create New Customer Account","Maak een nieuw klantaccount"
"Create an Account","Maak een account"
"Back","Terug"
"Confirm Password","Bevestig wachtwoord"
"Sign-in Information","Login informatie"
"Allow remote shopping assistance","Hulp bij winkelen op afstand toestaan"
"Sign Up for Newsletter","Abonneren op nieuwsbrief"
"First Name","Voornaam"
"Last Name","Achternaam"
"Personal Information","Persoonlijke gegevens"
"Forgot Your Password?","Wachtwoord vergeten?"
"New Customers","Nieuwe klanten"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Een account aanmaken heeft veel voordelen: sneller bestellen, meer dan 1 adres toevoegen, bestellingen volgen en meer."
"If you have an account, sign in with your email address.","Heeft u al een account? Log in met u email adres."
"Shop By","Filteren"
"Related Products","Gerelateerde producten"
"Category","Categorie"
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Alleen ingelogde gebruikers kunnen een review schrijven. <a href=""%1"" class=""underline"">Login</a> of <a href=""%2"" class=""underline"">maak een account.</a>"
"Write Your Own Review","Schrijf een review"
"You can earn","Koop dit product nu en ontvang"
"Reward Points","punten"
"for registration!","for registration!"
"for making a purchase! Available for","Voor"
registered,geregistreerde
"customers only.","klanten"
"for completing your purchase!","for completing your purchase!"
"Apply Rewards","Apply Rewards"
"You Have <strong>%1</strong> points left","You Have <strong>%1</strong> points left"
"%3 for every %1%2","%3 for every %1%2"
"Enter reward amount","Enter reward amount"
Cancel,Cancel
"Cancel Reward","Cancel Reward"
"Note: You need at least %1 points to pay for the order with reward points.","Note: You need at least %1 points to pay for the order with reward points."
"Note: You have %1 points only.","Note: You have %1 points only."
Earn,Earn
"Notification options","Notification options"
"Receive emails when reward points are added to the balance","Receive emails when reward points are added to the balance"
"Receive emails when reward points are about to expire","Receive emails when reward points are about to expire"
"Save Notification Options","Save Notification Options"
Date,Date
Change,Change
Comment,Comment
Action,Action
"Points Left","Points Left"
Amount,Amount
"Days Left","Days Left"
"You have no rewards.","You have no rewards."
"Current Balance","Current Balance"
"Total Earned: ","Total Earned: "
"Total Spent: ","Total Spent: "
"Expired: ","Expired: "
"Expiring Points Breakdown","Expiring Points Breakdown"
"Amount to Expire","Amount to Expire"
"Expiration Date","Expiration Date"
"Shipping Address","Verzendadres"
"View product","Bekijk product"
"In stock","Op vooraad"
"Out of stock","Niet op vooraad"
"Sign up","Aanmelden",
"2 year warranty","2 jaar garantie",
"Handmade","Handgemaakt",
"FSC® Teak","FSC® Teak",
"Sustainable wood","Duurzaam hout",
"Free delivery NL & BE","Gratis levering NL & BE",
"30-day return policy","30 dagen retourbeleid",
"FSC certified wood","FSC gecertificeerd hout",
"Weather-resistant teak","Weerbestendig teak",
"Suitable for every season","Geschikt voor elk seizoen",
"Craftsmanship from our own factory in Indonesia","Vakmanschap uit onze eigen fabriek in Indonesië",
"100% quality control before shipment","100% kwaliteitscontrole vóór verzending",
"Exclusively FSC® Premium Teak","Uitsluitend FSC® Premium Teak",
"Production begins immediately after order placement","Productie start direct na bestelling",
"Crafted for you in our own factory in Indonesia — delivery time approx. 12–14 weeks.","Voor u vervaardigd in onze eigen fabriek in Indonesië — levertijd ca. 12-14 weken.",
"Customization available","Maatwerk mogelijk",
"need to adjust the dimensions or design? Message our specialist.","afmeting of uitvoering aanpassen? App onze specialist.",
"Already manufactured — on its way from our own factory in Indonesia.","Reeds vervaardigd — onderweg vanuit onze eigen fabriek in Indonesië.",
"Expected in our showroom on %1","Verwacht in onze showroom op %1",
"Limited edition on its way from our factory in Indonesia — reserve today","Beperkte oplage onderweg uit onze fabriek in Indonesië — reserveer vandaag",
"Only %1 units on their way from our factory in Indonesia — reserve today","Slechts %1 exemplaren onderweg uit onze fabriek in Indonesië — reserveer vandaag",
"Almost sold out — only %1 units left on their way from our factory in Indonesia.","Bijna uitverkocht — nog slechts %1 exemplaren onderweg uit onze fabriek in Indonesië.",
"Reserve now to avoid disappointment","Reserveer nu om teleurstelling te voorkomen",
"Order now, we’ll ship immediately upon arrival in Tolbert","Bestel nu, wij verzenden direct na aankomst in Tolbert",
"Expected","Verwacht",
"Order now · ~3 weeks total","Bestel nu · ~3 wkn totaal",
"We’ll set one aside for you","Wij zetten één apart",
"We’ll schedule delivery","Wij plannen bezorging in",
"Expected in %1. We’ll set one aside for you and contact you as soon as it’s been inspected in Tolbert — then delivered to your home within 1 week.","Verwacht in %1. Wij zetten één voor jou apart en nemen contact op zodra hij gecontroleerd is in Tolbert — daarna binnen 1 week bij jou thuis.",
"Expected on %1. We’ll set one aside for you and get in touch as soon as it’s been checked in Tolbert — after which it will be delivered to your home within a week.","Verwacht op %1. Wij zetten één voor jou apart en nemen contact op zodra hij gecontroleerd is in Tolbert — daarna binnen 1 week bij jou thuis.",
"Expected this week","Verwacht week",
"Temporarily out of stock","Tijdelijk niet leverbaar",
"Unavailable","niet beschikbaar",
"Only","nog",
"Craftsmanship since 2002","Vakmanschap sinds 2002",
"We've safely received your details. Choose a password to track your order live and download invoices.","Je gegevens zijn al veilig ontvangen. Kies een wachtwoord om je order live te volgen en facturen te downloaden.",
"Log in","Inloggen",
"Register","Registreren",
"Email Address","E-mailadres",
"Password","Wachtwoord",
"Forgot?","Vergeten?",
"Stay logged in","Ingelogd blijven",
"Sign in securely","Veilig inloggen",
"Min. %1 characters","Min. %1 tekens",
"Keep me posted on offers","Houd me op de hoogte van aanbiedingen",
"Create account","Account aanmaken",
"Securely paid via Pay.nl","Veilig afgerekend via Pay.nl"
"Welcome back","Welkom terug",
"Order #%1","Bestelling #%1",
"confirmation is on its way","bevestiging is onderweg",
"2-year guarantee — and we're here for you after that too.","2 jaar garantie — en ook daarna staan wij voor je klaar.",
"30-day returns · secured by Pay.nl","30 dagen retour · Pay.nl beveiligd",
"Questions?","Vragen?",
"Welcome","Welkom",
"Your note","Jouw opmerking",
"Reorder","Opnieuw bestellen",
"Patrick will review your note personally · within 24 hours","Patrick leest uw notitie persoonlijk · binnen 24 uur",
"Do you have a discount code?","Heeft u een kortingscode?",
"Enter code","Voer code in",
"🎉 You qualify for free delivery!","🎉 U heeft gratis bezorging!",
"Only € ","Nog € ",
" more for free delivery"," tot gratis bezorging",
"Your Shopping Cart","Uw winkelwagen",
"Enter a location","Vul een locatie in",
"Manually enter address","Adres handmatig invullen",
"House Number & Addition","Huisnummer & toevoeging",
"%1 address cannot be shown due to a technical malfunction.","Het adres %1 kan vanwege een technische storing niet worden weergegeven.",
"%1 address could not be found.","Adres %1 is niet gevonden.",
"Address auto-search is disabled. Please enter your address manually.","Automatisch zoeken staat uit. Vul je adres handmatig in.",
"Address cannot be shown due to a technical malfunction.","Adres kan niet worden getoond door een technische fout.",
"Invalid %1 address. Please use the autocomplete search to find your address.","Ongeldig adres %1. Gebruik de zoekfunctie om je adres te vinden.",
"Invalid zip code.","Ongeldige postcode.",
"No address found. Please try again.","Geen adres gevonden. Probeer het nog eens.",
"Renderer by code %1 does not exist","Renderer met code %1 bestaat niet",
"Something went wrong while searching for your address.","Er ging iets mis tijdens het zoeken naar je adres.",
"Start typing your address and completion will do the rest.","Begin met typen, wij vullen de rest voor je in.",
"Incorrect house number addition. Please try again.","Onjuiste toevoeging van huisnummer. Probeer het opnieuw.",
"Regular shopper? ","Regelmatige klant?",
"Yes, I agree to the","Ja, ik ga akkoord met de",
"terms and conditions","algemene voorwaarden",
"100% Secure. Zero Spam.","100% veilig. Geen spam.",
"Limited Stock","Beperkte voorraad",
"Error!","Fout!",
"Please fill in all required fields.","Vul alle verplichte velden in.",
"TRY AGAIN","PROBEER HET OPNIEUW",
"New Arrival","Nieuw binnen",
"Order process completed successfully.","Bestelling succesvol voltooid.",
"Show More","Meer weergeven",
"Show Less","Minder weergeven",
"You are being redirected, please wait...","Je wordt doorgestuurd, even geduld...",
"Adding...","Toevoegen...",
"Cancel","Annuleren",
"View & Continue","Bekijken en doorgaan",
"Apply","Toepassen",
"Apply Discount Code","Kortingscode toepassen",
"Do you have a gift card?","Heb je een cadeaubon?",
"Processing ...","Bezig met verwerken...",
"The coupon code isn't valid. Verify the code and try again.","De kortingscode is ongeldig. Controleer de code en probeer het opnieuw.",
"Saving your preference","Uw voorkeur wordt opgeslagen",
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","De vereiste optie(s) voor het product zijn niet ingevuld. Zorg ervoor dat de opties zijn ingevuld en probeer het opnieuw.",
"Remove","Verwijderen",
"Each","Per",
"days","dagen",
"+ €%1 shipping costs","+ €%1 verzendkosten",
"Returns & Refunds","Retourneren & terugbetalingen",
"Privacy Policy","Privacybeleid",
"Techtic. All rights reserved","Techtic. Alle rechten voorbehouden",
"Secure checkout","Veilig afrekenen",
"Place an order","Bestelling plaatsen",
"saved successfully","Succesvol opgeslagen",
"saving","Opslaan",
"Saving method","Betaalmethode opslaan",
"Saving shipping method","Verzendmethode opslaan",
"Saving your address","Uw adres opslaan",
"Back to %1","Terug naar %1",
"Back to Cart","Terug naar winkelwagen",
"View all","Bekijk alles",
"Please enter a valid zip/postal code.","Vul alstublieft een geldige postcode in.",
"Checkout securely","Veilig afrekenen",
"Add to Quote","Liever een offerte? Vraag aan",
"Quote Summary","Offerteoverzicht",
"Your quote summary","Uw offerteoverzicht",
"My Quote Cart","Mijn offerte-aanvraag",
"Quote is empty","De offerte is leeg",
"Enter your details","Vul uw gegevens in",
"Remarks","Opmerkingen",
"Clear Quote","Offerte legen",
"Update Quote","Offerte bijwerken",
"Submit Quote","Offerte verzenden",
"Request Quote","Offerte aanvragen",
"Quote Cart","Uw offerteoverzicht",
"Quote Total","Offertetotaal",
"You must login or register to add items to your quote cart.","U moet inloggen of registreren om items aan uw offerte-aanvraag toe te voegen.",
"You added %1 to your quote cart.","U heeft %1 toegevoegd aan uw offerte-aanvraag.",
"Add Note","Notitie toevoegen",
"My Quotes","Mijn offertes",
"Cancel / Close","Annuleren / Sluiten",
"Approve","Goedkeuren",
"Convert To Order","Omzetten naar bestelling",
"Download PDF","PDF downloaden",
"Quote View","Offerte bekijken",
"Sales","Verkoop",
"Quotes","Offertes",
"You approved the quote.","U heeft de offerte goedgekeurd.",
"You closed the quote.","U heeft de offerte gesloten.",
"New Quote","Nieuwe offerte",
"Edit Quote","Offerte bewerken",
"You updated the quote.","U heeft de offerte bijgewerkt.",
"You created the quote.","U heeft de offerte aangemaakt.",
"Requested quote does not exist","De aangevraagde offerte bestaat niet.",
"Login for quote","Inloggen voor offerte",
"Submitted Quote","Ingediende offerte",
"Approved Quote","Goedgekeurde offerte",
"Modified Quote","Gewijzigde offerte",
"Canceled Quote","Geannuleerde offerte",
"Expired Quote","Verlopen offerte",
"Quote Number","Offertenummer",
"Quote Status","Offertestatus",
"Quote Date","Offertedatum",
"Quote Expiry Date","Vervaldatum offerte",
"Quote Items","Offerteproducten",
"Quote Information","Offerte-informatie",
"Quote Edit","Offerte bewerken",
"Quote History","Offertegeschiedenis",
"Quote Currency:","Offertevaluta:",
"Quote Comments","Offerteopmerkingen",
"Quote & Account Information","Offerte- en accountinformatie",
"Quote Date (%1)","Offertedatum (%1)",
"Reminder Date","Herinneringsdatum",
"Clone as Quote","Klonen als offerte",
"Move to Cart","Verplaatsen naar winkelwagen",
"Move to Shopping Cart","Verplaatsen naar winkelwagen",
"Move to Checkout","Ga naar afrekenen",
"You have placed no quotes.","U heeft geen offertes geplaatst.",
"There are no quote requests.","Er zijn geen offerteaanvragen.",
"Request a Quote","Offerte aanvragen",
"My Quote","Mijn offerte",
"Submitted Quote","Ingediende offerte",
"Email alert for new quote requests","E-mailmelding voor nieuwe offerteaanvragen",
"Email alert for approved quote requests","E-mailmelding voor goedgekeurde offertes",
"Email alert for canceled quote requests","E-mailmelding voor geannuleerde offertes",
"Email alert for modified quote requests","E-mailmelding voor gewijzigde offertes",
"Email alert for expired quote requests","E-mailmelding voor verlopen offertes",
"Email alert for submitted quote request","E-mailmelding voor ingediende offerte",
"Email alert for reminder quote requests","E-mailmelding voor herinnering offerte",
"Quote request has been received!","Uw offerteaanvraag is ontvangen!",
"Quote Cart has been disabled.","Offerte-aanvraag is uitgeschakeld.",
"Empty Quote Cart can not be submitted.","Een lege offerte kan niet worden verzonden.",
"Quote Cart has invalid status.","De offerte heeft een ongeldige status.",
"The quote can't be created.","De offerte kan niet worden aangemaakt.",
"Quote with ID %1 not approved","Offerte met ID %1 is niet goedgekeurd",
"You don’t have permission to access the quote with ID %1.","U heeft geen toegang tot de offerte met ID %1.",
"Amasty Request a Quote","Amasty Offerteaanvraag",
"Login","Inloggen",
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","E-mailadres en/of wachtwoord is onjuist. Probeer het nog eens, of vraag direct een nieuw wachtwoord aan.",
"You already have an account with us. Please sign in.","U heeft al een account bij ons. Log alstublieft in.",
"Could not find quote item with id: %1.","Kan item met id niet vinden: %1.",
"You have no items in your quote cart.","Je hebt geen artikelen in je offertewagen.",
"Your quote request has been received!","Uw offerteaanvraag is ontvangen!",
"Thank you for your interest!","Hartelijk dank voor uw interesse!",
"Your Quote Request # is:","Uw offerteaanvraag # is:",
"Your Quote Request # is: %1.","Uw offerteaanvraag # is: %1.",
"Your Quote Request # is: <span>%1</span>.","Uw offerteaanvraag # is: <span>%1</span>.",
"We'll email you a Quote Request confirmation email with a link to track progress.","We sturen u een bevestigingsmail met een link om de voortgang te volgen.",
"Quote #","Citaat #",
"Requested Price","Gevraagde prijs",
"Approved Price","Goedgekeurde prijs",
" Submitted Date:"," Ingediende datum:",
"Quote # %1","Citaat # %1",
"Submitted Quote","Ingediende offerte",
"Approved Quote","Goedgekeurde offerte",
"Modified Quote","Gewijzigde offerte",
"Canceled Quote","Geannuleerde offerte",
"Expired Quote","Verlopen offerte",
"We'll send notifications about the quote to the inserted email address. Please note that if you want to track a quote status on the website you have to <a href=""%1"">register</a> before submitting the quote.","We sturen meldingen over de offerte naar het opgegeven e-mailadres. Houd er rekening mee dat als u de status van een offerte op de website wilt volgen, u zich moet <a href=""%1“”>registreren</a> voordat u de offerte indient.",
"Your checkout information has been updated in the background. Please refresh the page to continue the checkout process in this window.","Uw afrekeningsgegevens zijn op de achtergrond bijgewerkt. Vernieuw de pagina om het afrekeningsproces in dit venster voort te zetten.",
"Information has been updated","De informatie is bijgewerkt",
"Discover our bestsellers","Ontdek onze bestsellers",
"Unable to create account. Please try again.","Het is niet gelukt om een account aan te maken. Probeer het nog eens.",
"Passwords do not match.","De wachtwoorden komen niet overeen.",
"Qty %1","Aantal %1",
"30-day returns","30 dagen retour",
"secured by Pay.nl","Pay.nl beveiligd",
"2-year guarantee - and we're here for you after that too.","2 jaar garantie - en ook daarna staan wij voor je klaar.",
